,seg_1_x,seg_1_y,seg_1_z,seg_1_taxis,seg_2_x,seg_2_y,seg_2_z,seg_2_taxis,seg_3_x,seg_3_y,seg_3_z,seg_3_taxis,seg_4_x,seg_4_y,seg_4_z,seg_4_taxis,seg_5_x,seg_5_y,seg_5_z,seg_5_taxis,seg_6_x,seg_6_y,seg_6_z,seg_6_taxis,seg_7_x,seg_7_y,seg_7_z,seg_7_taxis,seg_8_x,seg_8_y,seg_8_z,seg_8_taxis,seg_9_x,seg_9_y,seg_9_z,seg_9_taxis,seg_10_x,seg_10_y,seg_10_z,seg_10_taxis,seg_11_x,seg_11_y,seg_11_z,seg_11_taxis,seg_12_x,seg_12_y,seg_12_z,seg_12_taxis,seg_13_x,seg_13_y,seg_13_z,seg_13_taxis,seg_14_x,seg_14_y,seg_14_z,seg_14_taxis,seg_15_x,seg_15_y,seg_15_z,seg_15_taxis,seg_16_x,seg_16_y,seg_16_z,seg_16_taxis,seg_17_x,seg_17_y,seg_17_z,seg_17_taxis,seg_18_x,seg_18_y,seg_18_z,seg_18_taxis,seg_19_x,seg_19_y,seg_19_z,seg_19_taxis,seg_20_x,seg_20_y,seg_20_z,seg_20_taxis,seg_21_x,seg_21_y,seg_21_z,seg_21_taxis,seg_22_x,seg_22_y,seg_22_z,seg_22_taxis
1490,3.762215306566122,-8.490502688064462,1.3097598542953122,1570695037954989684,6.919214703146609,-10.157434895205142,-0.7064120218357619,1570695097954988964,4.922067777461926,-7.18402965691161,-0.6375338584563351,1570695157954988244,-1.2096960274575044,-9.8211494584164,-1.3330204188999024,1571579793806691684,-1.3324792867800224,-10.148498420563742,-0.4022517425993318,1571579853806690964,-2.2126213843670284,-9.566679795635483,-1.2449325967472769,1571579913806690244,8.592623630892627,-5.330974822291755,-5.345745619860788,1572187478207691620,9.633716671487836,-2.5095929521416176,-3.144906958213081,1572187538207690900,0.3072311587739627,-12.81704169180514,0.38887917169361863,1571653745936691556,0.34676723749777116,-9.825953655431226,1.6639115230095198,1571654366334691684,1.741425213594303,-0.3725595511839544,-10.010498443391565,1572103740186685204,2.1695284375533,0.4350914642511264,-9.343687811103543,1572103800186684484,-1.1607539071230464,0.287544290965333,9.74687871504402,1572071076465688004,-1.9585789592573346,0.8677646637078154,9.61243069486689,1572071304465685268,-1.7554032359896021,-1.2176127713566527,9.921105853030756,1572071364465684548,-0.7745277064676157,0.6076230393034519,9.650257918702836,1572071424465683828,0.788634086809233,3.6543191668494797,10.028568498981066,1572186149536684860,-1.963264251861869,3.878349783165975,8.846050711938863,1572186209536684140,0.022140685551452276,3.7850114442177722,9.139227807330583,1572186269536683420,-0.8831593240981721,2.6272252239148726,9.149203619977083,1572186329536682700,-0.5000218253833141,0.5095223893687569,9.997177952169013,1572085917018689812,0.2777666210826608,1.0119273026934488,9.84972842815192,1572086385018684196
1491,3.2975435939239404,-7.829092587980235,1.5824535170965544,1570695037993451222,6.0998565289492035,-10.101867537457979,-1.0094220920466888,1570695097993450502,4.8653331281087455,-6.405708181397414,-0.07769938094048329,1570695157993449782,-1.0226128078130676,-9.550633778026224,-1.1441790265951954,1571579793845153222,-0.9871055191419369,-9.848805200547154,-0.5121155682405513,1571579853845152502,-2.003603859567934,-9.585942099851973,-1.3873896221795967,1571579913845151782,9.097903639230212,-5.533558717805847,-5.037903264300306,1572187478246153158,9.863727546449367,-2.57223365336012,-3.1195316339446064,1572187538246152438,-0.14989961940647412,-12.379993359646674,0.2082886067444414,1571653745975153094,0.4807040466318407,-9.967158937853393,1.995586614522829,1571654366373153222,1.6431484665593528,-0.3600074918293782,-10.059059285341363,1572103740225146742,2.1491344416618996,0.4191062225425586,-9.350179148815554,1572103800225146022,-1.14504874047512,0.31099985095551097,9.71297504766888,1572071076504149542,-1.975562295298926,0.8781852999284336,9.679741860772285,1572071304504146806,-1.6932558160610358,-1.2304448648846547,9.902626980581736,1572071364504146086,-0.6826917594541062,0.6062251854077582,9.582101193104858,1572071424504145366,0.7052076575345332,3.647476718507803,10.03856144970844,1572186149575146398,-1.9565436315410907,3.8501841872495657,8.816641119877566,1572186209575145678,0.052668280018425724,3.8524067633648653,9.207157490278268,1572186269575144958,-0.6472967632083225,2.5521885319304896,9.051118671701786,1572186329575144238,-0.5146688064711605,0.5086863154584214,9.995476086303967,1572085917057151350,0.3519868753927436,0.9871667358913805,9.714636442502112,1572086385057145734
1492,3.117384796428006,-7.181248349274218,2.0389957731992867,1570695038031912760,5.0727655941021785,-9.777813342622098,-1.1569488899474967,1570695098031912040,4.918580683667212,-5.9271344227998854,0.4096643033361587,1570695158031911320,-0.8550405062417499,-9.335019846970697,-0.9918133892217299,1571579793883614760,-0.8626757004817661,-9.531340902927148,-0.3878961208859536,1571579853883614040,-1.7671178184742684,-9.620422155881133,-1.5128571991934925,1571579913883613320,9.286375804544592,-5.599481544910267,-4.400553630395582,1572187478284614696,10.039736649048855,-2.7040437406575255,-2.9895852026801837,1572187538284613976,-0.37204059612311174,-11.576645221736296,0.008215877170047514,1571653746013614632,0.6871558887184961,-10.160730628320442,2.2930026852664325,1571654366411614760,1.5345376215257203,-0.32591304784867875,-10.025056726055796,1572103740263608280,2.135477513257177,0.40865612407495394,-9.402840690919675,1572103800263607560,-1.1333724131996419,0.33482660663871916,9.697350215979036,1572071076542611080,-2.001431235143155,0.8843730295506579,9.779368996394071,1572071304542608344,-1.6186345011302745,-1.2418179343562477,9.879023318947295,1572071364542607624,-0.6307199101055052,0.5998323414857946,9.557426563060107,1572071424542606904,0.6051739621637556,3.6271777144500814,10.066254300727618,1572186149613607936,-1.9395767362121692,3.8164517378010463,8.773665894229978,1572186209613607216,0.062392384928680725,3.9134224841938856,9.286187506636715,1572186269613606496,-0.5273513037826882,2.501927600610798,9.024038763720867,1572186329613605776,-0.5244423469539949,0.5074215804343302,9.995707795886656,1572085917095612888,0.4338385746144571,0.9732017798847411,9.60414465174534,1572086385095607272
1493,3.1817726100782155,-6.707846787493793,2.609788171991566,1570695038070374298,4.0832131093352855,-9.267211390794358,-1.1119171863199506,1570695098070373578,5.170294414091442,-5.868929443249121,0.6834347057069052,1570695158070372858,-0.672826837886755,-9.239971429759102,-0.8622667059910238,1571579793922076298,-0.8907526110603611,-9.258959770987206,-0.21154133982720694,1571579853922075578,-1.5324046904979651,-9.673680149672698,-1.592834636653455,1571579913922074858,9.217021771809794,-5.513334781459916,-3.5731429696283263,1572187478323076234,10.096673026485233,-2.9128622890677582,-2.756091898145085,1572187538323075514,-0.35859838608683664,-10.405361118145814,-0.20714668234665953,1571653746052076170,0.895737335458412,-10.406061487061836,2.4924293697910156,1571654366450076298,1.4329643460725512,-0.28309896716767124,-9.925004215809496,1572103740302069818,2.1428445068318966,0.4048265638555448,-9.488805551793236,1572103800302069098,-1.1303620837436428,0.3549178431840776,9.709825714684259,1572071076581072618,-2.025517913597393,0.8782761958431013,9.878388827178284,1572071304581069882,-1.5460382983738845,-1.2500687805336543,9.860559194174186,1572071364581069162,-0.6496291562749703,0.5973291468544334,9.574085955942468,1572071424581068442,0.5208211132788433,3.6069976908057377,10.09929595146987,1572186149652069474,-1.9163162599648886,3.785811905666957,8.733398640452812,1572186209652068754,0.031214318412261344,3.954595930688948,9.337521161105322,1572186269652068034,-0.5383520154607324,2.489322066057532,9.058224401151602,1572186329652067314,-0.5272252537593095,0.5073007914860141,9.99781184997849,1572085917134074426,0.5224526427546209,0.9722757382861043,9.540735922932834,1572086385134068810
1494,3.434593392804319,-6.558483591627781,3.219823805846008,1570695038108835836,3.342649710425799,-8.623798772775578,-0.8677837644905194,1570695098108835116,5.667390058816879,-6.256945719301239,0.7138696564189331,1570695158108834396,-0.48564425164842634,-9.282501365463462,-0.7599562864165196,1571579793960537836,-0.9245107219420695,-9.189258761847382,-0.08022354861359722,1571579853960537116,-1.331453768075474,-9.741042999561348,-1.6050507575733224,1571579913960536396,8.986482698723409,-5.238015802003829,-2.763113905562872,1572187478361537772,9.970901234134862,-3.1990085663307104,-2.4477989012222747,1572187538361537052,-0.1921173155549835,-9.001683979833562,-0.4799751488544111,1571653746090537708,1.0130896125231894,-10.687348552693956,2.5543865357600906,1571654366488537836,1.3431863202940393,-0.24591526088629764,-9.790488895461886,1572103740340531356,2.1871498367595557,0.40637117745036566,-9.5841185920173,1572103800340530636,-1.1375733365497298,0.3710200192012105,9.749753200232055,1572071076619534156,-2.0413445852612644,0.8593775007344656,9.949069992967274,1572071304619531420,-1.488143506683402,-1.2573985817253859,9.852616254017834,1572071364619530700,-0.7425342603616639,0.6042107910566531,9.61907027273592,1572071424619529980,0.47890841712993354,3.5985146813785525,10.111657843111068,1572186149690531012,-1.8933119163945065,3.7680722922050065,8.710070066371078,1572186209690530292,-0.03386670612603897,3.9756779657346364,9.342110145416685,1572186269690529572,-0.6672965393123553,2.5159174877093813,9.14150262806066,1572186329690528852,-0.522629503443411,0.5117469451028915,9.999919847293416,1572085917172535964,0.6138869466404702,0.981810340339057,9.536079772697232,1572086385172530348
1495,3.8245144289292665,-6.805173439030239,3.795497815059038,1570695038147297374,2.965751220089067,-7.917385357123114,-0.44521183600538067,1570695098147296654,6.344629652512096,-7.011380214744789,0.5416007667202507,1570695158147295934,-0.3335806094717446,-9.4494105387754,-0.7075209077984248,1571579793998999374,-0.8506751013855219,-9.443604032096541,0.008019233213855873,1571579853998998654,-1.1825164240909425,-9.800686571562135,-1.5497892378291904,1571579913998997934,8.669300257897328,-4.758037112369649,-2.1507418301919152,1572187478399999310,9.645360999151768,-3.5487106365219363,-2.123092518381938,1572187538399998590,0.035719742570232436,-7.6366130810802675,-0.8969057738126971,1571653746128999246,0.9354219991951358,-10.993272811384884,2.469298819765918,1571654366526999374,1.2644374446430233,-0.223386437944273,-9.658905800255114,1572103740378992894,2.278477629585098,0.409658405742927,-9.665162882216737,1572103800378992174,-1.150888896359511,0.3836819505116723,9.801816792097348,1572071076657995694,-2.0450899248307537,0.8363488071985308,9.984291126469106,1572071304657992958,-1.4502761987387691,-1.268520902106524,9.855189957548317,1572071364657992238,-0.8850926644280536,0.6174919023036531,9.674005667225313,1572071424657991518,0.4846447518433643,3.607877006099418,10.086740007149007,1572186149728992550,-1.8822861055512876,3.7658315394820585,8.701992353498872,1572186209728991830,-0.09680331458494573,3.98512925623466,9.320859027129666,1572186269728991110,-0.8850812678857455,2.570949018563339,9.257177064129525,1572186329728990390,-0.5119221523576668,0.5259194391172519,9.999170712351617,1572085917210997502,0.6978448694719311,0.9949750983128516,9.587140810215,1572086385210991886
1496,4.309741118221557,-7.4026650183122,4.268214126488143,1570695038185758912,2.9660210698035936,-7.280375507203912,0.1026394623925641,1570695098185758192,7.03704769396042,-7.959494600109419,0.22548178204044234,1570695158185757472,-0.25923641349263626,-9.725574884535362,-0.716602069398968,1571579794037460912,-0.6678774730126562,-10.008554677284295,0.08290778179613673,1571579854037460192,-1.0792621076332023,-9.819104590923756,-1.453670881965546,1571579914037459472,8.30087112923164,-4.1165795007058525,-1.826178663880967,1572187478438460848,9.185730350992756,-3.933296217148384,-1.8584888403000122,1572187538438460128,0.2822990275408752,-6.61373472558617,-1.5380354756744914,1571653746167460784,0.5872390384447427,-11.315986769881754,2.248471814001644,1571654366565460912,1.199094060294581,-0.21785315970140803,-9.561938214110008,1572103740417454432,2.413309032777277,0.41065734152438216,-9.7172952392346,1572103800417453712,-1.163297736151179,0.39235032532627107,9.84225007737247,1572071076696457232,-2.035405627851393,0.8190245046754558,9.992091500120594,1572071304696454496,-1.4318441774882675,-1.286004808201802,9.867206162183743,1572071364696453776,-1.0337359580981536,0.6287714809880698,9.719873181978487,1572071424696453056,0.5182147323428077,3.6318894381232547,10.031443566362118,1572186149767454088,-1.8952627611707134,3.771310175162645,8.69205697179584,1572186209767453368,-0.11641865539763187,3.9911517211007577,9.315624512348577,1572186269767452648,-1.156499739009952,2.63693362562239,9.384541861912986,1572186329767451928,-0.4976327636739361,0.5562997217459477,9.993260778237987,1572085917249459040,0.7569394064515975,1.0058956801718177,9.682693843181182,1572086385249453424
1497,4.832547682450379,-8.19258974262552,4.565296236692004,1570695038224220450,3.2824843448507033,-6.883344796848481,0.6965181780033629,1570695098224219730,7.547022664759794,-8.883855652873171,-0.18093883338585406,1570695158224219010,-0.28517325850085573,-10.09606724013564,-0.7680910681866382,1571579794075922450,-0.46427537951832365,-10.753881959198148,0.1318047985703819,1571579854075921730,-1.0073260270686273,-9.77471281789835,-1.3492223843268416,1571579914075921010,7.906488417049486,-3.4147624416196005,-1.7821177156973018,1572187478476922386,8.727193408025185,-4.310669765264261,-1.7213592672548739,1572187538476921666,0.5613295927790272,-6.156042894733826,-2.424977507980842,1571653746205922322,-0.02912766056450592,-11.625086822951875,1.9180759662469313,1571654366603922450,1.1529496288556813,-0.2291144475418328,-9.513373629193955,1572103740455915970,2.5707479762637053,0.4076820093985262,-9.734624110225548,1572103800455915250,-1.170192821791454,0.3964125184727164,9.85230460176385,1572071076734918770,-2.015227855089726,0.810146166243994,9.982892738188033,1572071304734916034,-1.4267483723827077,-1.3087654783084846,9.887419250303203,1572071364734915314,-1.1421434875908756,0.628177035310478,9.744015379247987,1572071424734914594,0.5453461062273426,3.657598316600085,9.961393827645002,1572186149805915626,-1.9372105026557924,3.776002668459171,8.66876580506491,1572186209805914906,-0.07825661682756099,4.002803534104805,9.355068969004561,1572186269805914186,-1.444167574294763,2.6963973816693,9.502499071539809,1572186329805913466,-0.48310483255807335,0.6094797747474939,9.981616317023386,1572085917287920578,0.7744952023539625,1.0121362835567604,9.809861815113843,1572086385287914962
1498,5.295818583437543,-8.963700212639132,4.605575579283574,1570695038262681988,3.8148372808582804,-6.863331709864471,1.2512149106119272,1570695098262681268,7.706661782588616,-9.592473728200638,-0.6263004918343891,1570695158262680548,-0.40270510685133803,-10.531659051905226,-0.8249359038941616,1571579794114383988,-0.3413358756099948,-11.515385570984192,0.11660638752579257,1571579854114383268,-0.9686451274287922,-9.67549320604701,-1.2512075627100356,1571579914114382548,7.5519855840027965,-2.7804025981396046,-1.9353678683671351,1572187478515383924,8.401300485710628,-4.62660053709038,-1.7314351782116146,1572187538515383204,0.90878886242645,-6.3369800382688695,-3.490266854732629,1571653746244383860,-0.8096197102943266,-11.863194407473602,1.5252468128834853,1571654366642383988,1.1332854255383285,-0.258687760510186,-9.508009783061123,1572103740494377508,2.717390055416589,0.4020242846327497,-9.716023995502509,1572103800494376788,-1.172820579288113,0.397143235281881,9.831000849780553,1572071076773380308,-1.990636200186145,0.806802023493522,9.963392317716774,1572071304773377572,-1.4246475039238595,-1.3350417008725803,9.911165561780212,1572071364773376852,-1.178100392177563,0.6087820080697368,9.745314513487035,1572071424773376132,0.5433674235012379,3.6725592831298726,9.872319262932534,1572186149844377164,-2.0020243988795685,3.7806840062657168,8.646069204450967,1572186209844376444,-0.0030983660071675963,4.024117675260451,9.424853204631768,1572186269844375724,-1.706632033996447,2.7384156519750875,9.594701396460232,1572186329844375004,-0.4717412755391096,0.6896736298812017,9.965724410437424,1572085917326382116,0.7443663763071602,1.0119829670775056,9.952573595350584,1572086385326376500
